"day","stockNum","open","close","gain"
72,5,17.57,17.5,-0.00398406374501994
73,5,17.38,17.39,0.000575373993095602
74,5,17.17,17.26,0.00524170064065229
75,5,17.35,17.63,0.0161383285302592
76,5,17.75,17.76,0.000563380281690229
77,5,17.95,17.47,-0.0267409470752089
78,5,17.59,17.61,0.00113700966458212
79,5,17.4,17.71,0.0178160919540231
80,5,17.65,17.71,0.00339943342776217
81,5,17.75,17.6,-0.00845070422535203
82,5,17.61,17.83,0.0124929017603634
83,5,17.89,18.17,0.0156512017887088
84,5,19.29,19.05,-0.0124416796267495
85,5,19.1,19.4,0.0157068062827224
86,5,19.47,19.51,0.00205444273240897
87,5,19.42,19.73,0.0159629248197734
88,5,19.67,19.77,0.0050838840874427
89,5,19.65,19.48,-0.00865139949109405
90,5,19.44,19.65,0.0108024691358023
1,6,42.05,38.23,-0.0908442330558859
2,6,36.53,34.03,-0.0684369011771147
3,6,32.61,31,-0.0493713584789942
4,6,31.37,32,0.0200828817341409
5,6,32.95,33.03,0.00242792109256444
6,6,32.9,31.91,-0.0300911854103343
7,6,31.48,28.84,-0.0838627700127065
8,6,28.7,28.19,-0.0177700348432055
9,6,28.55,29.6,0.0367775831873906
10,6,28.89,27.72,-0.0404984423676013
11,6,27.2,26.9,-0.0110294117647059
12,6,26.7,25.87,-0.0310861423220973
13,6,26.07,26.81,0.0283851169927119
14,6,27,26.31,-0.0255555555555556
15,6,26.55,27.1,0.0207156308851224
16,6,27.18,27.01,-0.00625459896983069
17,6,27.48,27.4,-0.00291120815138289
18,6,27.66,27.27,-0.0140997830802603
19,6,27.65,28.29,0.0231464737793852
20,6,28.51,30.01,0.0526131182041389
21,6,29.96,31.41,0.0483978638184245
22,6,31.54,31.91,0.0117311350665821
23,6,31.92,31.6,-0.0100250626566416
24,6,31.67,31.84,0.00536785601515624
25,6,32.41,33.05,0.0197469916692379
26,6,32.86,32.06,-0.0243457090687765
27,6,32.69,33.1,0.0125420617925972
28,6,32.46,32.23,-0.00708564386937782
29,6,31.96,31.36,-0.018773466833542
30,6,31.92,31.1,-0.0256892230576441
31,6,31.25,30.77,-0.01536
32,6,30.91,31.2,0.00938207699773533
33,6,31.32,31.47,0.0047892720306513
34,6,31.44,31.73,0.00922391857506359
35,6,32.1,32.17,0.00218068535825546
36,6,32.43,31.47,-0.0296022201665125
37,6,31.48,30.97,-0.0162007623888183
38,6,30.7,30.81,0.0035830618892508
39,6,31.04,30.72,-0.0103092783505155
40,6,30.5,28.25,-0.0737704918032787
41,6,28.48,28.09,-0.0136938202247191
42,6,28.31,29.11,0.0282585658777817
43,6,29.41,29,-0.013940836450187
44,6,29,28.76,-0.00827586206896546
45,6,28.12,28.75,0.0224039829302987
46,6,28.82,28.45,-0.0128383067314365
47,6,28.39,29.34,0.0334624867911236
48,6,27.75,26.85,-0.0324324324324324
49,6,23.19,23.71,0.0224234583872359
50,6,24,23.15,-0.0354166666666667
51,6,23.37,21.71,-0.0710312366281558
52,6,21.5,20.88,-0.0288372093023256
53,6,20.77,20.04,-0.0351468464130958
54,6,20.36,21.09,0.0358546168958743
55,6,21.39,21.92,0.0247779336138383
56,6,22.2,20.72,-0.0666666666666667
57,6,20.71,20.72,0.000482858522452825
58,6,20.75,21.01,0.0125301204819278
59,6,21.41,21.81,0.018682858477347
60,6,22.15,21.6,-0.0248306997742662
61,6,21.41,20.38,-0.0481083605791687
62,6,20.64,21.2,0.0271317829457364
63,6,20.44,19.87,-0.0278864970645793
64,6,20.01,19.05,-0.047976011994003
65,6,19.05,20.01,0.0503937007874016
66,6,19.58,19.16,-0.0214504596527068
67,6,19.36,19.44,0.00413223140495877
68,6,19.5,19.44,-0.00307692307692301
69,6,19.52,19.41,-0.00563524590163931
70,6,19.49,19.15,-0.017444843509492
71,6,19.1,19.34,0.0125654450261779
72,6,19.32,19.1,-0.0113871635610765
73,6,19.27,19.09,-0.0093409444732745
74,6,18.68,18.06,-0.0331905781584583
75,6,18.08,17.73,-0.0193584070796459
76,6,18.27,18.58,0.016967706622879
77,6,18.74,18.96,0.0117395944503737
78,6,19.1,18.98,-0.00628272251308906
79,6,19.06,18.81,-0.0131164742917104
80,6,18.92,19.43,0.0269556025369978
81,6,20.76,20.93,0.00818882466281301
82,6,20.96,20.71,-0.0119274809160305
83,6,21.13,22,0.0411736867013725
84,6,22.67,21.52,-0.050727834142038
85,6,21.6,21.87,0.0125
86,6,21.99,23.29,0.0591177808094589
87,6,23.02,22.59,-0.0186794092093831
88,6,22.97,22.86,-0.00478885502829776
89,6,21.78,20.79,-0.0454545454545455
90,6,21.2,20.28,-0.0433962264150943
1,7,27.46,27.73,0.0098324836125273
2,7,27.68,28.46,0.0281791907514451
3,7,28.44,28.47,0.00105485232067502
4,7,28.54,28.63,0.00315346881569726
5,7,28.72,28.47,-0.00870473537604457
6,7,28.27,28.68,0.0145030067209056
7,7,28.77,28.69,-0.00278067431352097
8,7,28.54,28.92,0.0133146461107219
9,7,28.59,28.04,-0.0192374956278419
10,7,27.86,26.98,-0.031586503948313
11,7,27.13,26.45,-0.02506450423885
12,7,26.45,26.7,0.00945179584120983
13,7,26.75,26.53,-0.00822429906542052
14,7,26.37,26.04,-0.0125142207053471
15,7,26.23,26.89,0.025162028211971
16,7,26.93,26.22,-0.026364649090234
17,7,26.16,26.35,0.00726299694189607
18,7,26.29,26.21,-0.00304298212247997
19,7,26.29,26.25,-0.00152149106123998
20,7,26.19,26.62,0.0164184803360061
21,7,26.67,26.59,-0.00299962504686921
22,7,26.91,27.14,0.00854700854700856
23,7,27.42,27.51,0.00328227571115973
24,7,27.75,27.28,-0.0169369369369369
25,7,28.62,28.09,-0.0185185185185186
26,7,27.9,28.14,0.00860215053763448
27,7,28.06,27.71,-0.0124732715609408
28,7,27.62,27.54,-0.00289645184648812
29,7,27.66,27.18,-0.017353579175705
30,7,27.26,27.46,0.0073367571533382
31,7,27.59,27.56,-0.00108735048930776
32,7,27.48,27.52,0.00145560407569138
33,7,27.56,27.66,0.00362844702467349
34,7,27.32,27.38,0.00219619326500727
35,7,27.52,27.4,-0.00436046511627911
36,7,27.35,27.51,0.00585009140767825
37,7,27.64,27.24,-0.0144717800289436
38,7,26.75,25.71,-0.0388785046728972
39,7,25.8,25.94,0.00542635658914731
40,7,25.4,25.85,0.017716535433071
41,7,25.69,25.3,-0.0151810042818217
42,7,25.02,25.46,0.0175859312549961
43,7,25.79,25.96,0.00659170221015904
44,7,25.91,25.87,-0.00154380548050942
45,7,26.17,26.15,-0.000764233855559921
46,7,26.42,26.08,-0.0128690386071159
47,7,25.98,26.17,0.00731331793687457
48,7,26,25.5,-0.0192307692307692
49,7,25.5,25.85,0.0137254901960785
50,7,25.7,25.81,0.00428015564202332
51,7,25.79,25.99,0.00775494377665759
52,7,26.19,26.3,0.0042000763650248
53,7,26.33,26.34,0.000379794910748255
54,7,26.4,26.79,0.0147727272727273
55,7,26.76,26.37,-0.0145739910313902
56,7,26.45,26.19,-0.00982986767485815
57,7,26.23,26.34,0.00419367136866182
58,7,26.15,25.93,-0.00841300191204585
59,7,25.79,25.7,-0.00348972469949592
